source,desc,alpha,rho,n_params,note
IMAGEN_mats_mid_bsl_neo_c_agreeableness_average_fu2,negative,0.001,-0.0232050904991645,21.99,max rho - alpha = 0.001 rho
IMAGEN_mats_mid_bsl_neo_c_agreeableness_average_fu2,positive,0.1258925411794167,0.062118087160368,1825.25,max rho
IMAGEN_mats_mid_bsl_neo_c_agreeableness_average_fu2,positive,0.1,0.0617357086418641,1435.41,fixed alpha 0.1
IMAGEN_mats_mid_bsl_neo_c_agreeableness_average_fu2,positive,0.1,-0.0003823785185039022,1435.41,max rho - alpha = 0.1 rho
IMAGEN_mats_mid_bsl_neo_c_agreeableness_average_fu2,positive,0.05,0.0563351357224087,696.33,fixed alpha 0.05
IMAGEN_mats_mid_bsl_neo_c_agreeableness_average_fu2,positive,0.05,-0.005782951437959302,696.33,max rho - alpha = 0.05 rho
IMAGEN_mats_mid_bsl_neo_c_agreeableness_average_fu2,positive,0.01,0.0383555026631413,128.28,fixed alpha 0.01
IMAGEN_mats_mid_bsl_neo_c_agreeableness_average_fu2,positive,0.01,-0.0237625844972267,128.28,max rho - alpha = 0.01 rho
IMAGEN_mats_mid_bsl_neo_c_agreeableness_average_fu2,positive,0.005,0.0256933341157637,61.29,fixed alpha 0.005
IMAGEN_mats_mid_bsl_neo_c_agreeableness_average_fu2,positive,0.005,-0.0364247530446043,61.29,max rho - alpha = 0.005 rho
IMAGEN_mats_mid_bsl_neo_c_agreeableness_average_fu2,positive,0.001,-0.0006839820570033,10.88,fixed alpha 0.001
IMAGEN_mats_mid_bsl_neo_c_agreeableness_average_fu2,positive,0.001,-0.0628020692173713,10.88,max rho - alpha = 0.001 rho
IMAGEN_mats_mid_bsl_neo_c_conscientiousness_average_fu2,all,0.0002511886431509,0.1091475828550226,24.14,max rho
IMAGEN_mats_mid_bsl_neo_c_conscientiousness_average_fu2,all,0.1,0.0752718367127263,4622.99,fixed alpha 0.1
IMAGEN_mats_mid_bsl_neo_c_conscientiousness_average_fu2,all,0.1,-0.0338757461422963,4622.99,max rho - alpha = 0.1 rho
IMAGEN_mats_mid_bsl_neo_c_conscientiousness_average_fu2,all,0.05,0.0832131512501033,2488.57,fixed alpha 0.05
IMAGEN_mats_mid_bsl_neo_c_conscientiousness_average_fu2,all,0.05,-0.025934431604919303,2488.57,max rho - alpha = 0.05 rho
IMAGEN_mats_mid_bsl_neo_c_conscientiousness_average_fu2,all,0.01,0.0995701477272562,596.21,fixed alpha 0.01
IMAGEN_mats_mid_bsl_neo_c_conscientiousness_average_fu2,all,0.01,-0.009577435127766404,596.21,max rho - alpha = 0.01 rho
IMAGEN_mats_mid_bsl_neo_c_conscientiousness_average_fu2,all,0.005,0.0999005101874519,322.51,fixed alpha 0.005
IMAGEN_mats_mid_bsl_neo_c_conscientiousness_average_fu2,all,0.005,-0.009247072667570702,322.51,max rho - alpha = 0.005 rho
IMAGEN_mats_mid_bsl_neo_c_conscientiousness_average_fu2,all,0.001,0.1017454736794071,78.66,fixed alpha 0.001
IMAGEN_mats_mid_bsl_neo_c_conscientiousness_average_fu2,all,0.001,-0.007402109175615498,78.66,max rho - alpha = 0.001 rho
IMAGEN_mats_mid_bsl_neo_c_conscientiousness_average_fu2,negative,0.0019952623149688,0.1016181106785074,81.82000000000001,max rho
IMAGEN_mats_mid_bsl_neo_c_conscientiousness_average_fu2,negative,0.1,0.0809649990765638,2523.3,fixed alpha 0.1
IMAGEN_mats_mid_bsl_neo_c_conscientiousness_average_fu2,negative,0.1,-0.020653111601943594,2523.3,max rho - alpha = 0.1 rho
IMAGEN_mats_mid_bsl_neo_c_conscientiousness_average_fu2,negative,0.05,0.0859265028550243,1376.73,fixed alpha 0.05
IMAGEN_mats_mid_bsl_neo_c_conscientiousness_average_fu2,negative,0.05,-0.015691607823483097,1376.73,max rho - alpha = 0.05 rho
IMAGEN_mats_mid_bsl_neo_c_conscientiousness_average_fu2,negative,0.01,0.0951724165061739,337.19,fixed alpha 0.01
IMAGEN_mats_mid_bsl_neo_c_conscientiousness_average_fu2,negative,0.01,-0.0064456941723334965,337.19,max rho - alpha = 0.01 rho
IMAGEN_mats_mid_bsl_neo_c_conscientiousness_average_fu2,negative,0.005,0.0964005198386428,182.59,fixed alpha 0.005
IMAGEN_mats_mid_bsl_neo_c_conscientiousness_average_fu2,negative,0.005,-0.005217590839864603,182.59,max rho - alpha = 0.005 rho
IMAGEN_mats_mid_bsl_neo_c_conscientiousness_average_fu2,negative,0.001,0.0892924230202418,44.7,fixed alpha 0.001
IMAGEN_mats_mid_bsl_neo_c_conscientiousness_average_fu2,negative,0.001,-0.012325687658265597,44.7,max rho - alpha = 0.001 rho
IMAGEN_mats_mid_bsl_neo_c_conscientiousness_average_fu2,positive,0.0001258925411794,0.1109208782120073,6.470000000000001,max rho
IMAGEN_mats_mid_bsl_neo_c_conscientiousness_average_fu2,positive,0.1,0.0634000824277265,2099.69,fixed alpha 0.1
IMAGEN_mats_mid_bsl_neo_c_conscientiousness_average_fu2,positive,0.1,-0.0475207957842808,2099.69,max rho - alpha = 0.1 rho
IMAGEN_mats_mid_bsl_neo_c_conscientiousness_average_fu2,positive,0.05,0.0741391410080444,1111.84,fixed alpha 0.05
IMAGEN_mats_mid_bsl_neo_c_conscientiousness_average_fu2,positive,0.05,-0.0367817372039629,1111.84,max rho - alpha = 0.05 rho
IMAGEN_mats_mid_bsl_neo_c_conscientiousness_average_fu2,positive,0.01,0.0957468224870274,259.02,fixed alpha 0.01
IMAGEN_mats_mid_bsl_neo_c_conscientiousness_average_fu2,positive,0.01,-0.015174055724979901,259.02,max rho - alpha = 0.01 rho
IMAGEN_mats_mid_bsl_neo_c_conscientiousness_average_fu2,positive,0.005,0.0938500978099517,139.92000000000002,fixed alpha 0.005
IMAGEN_mats_mid_bsl_neo_c_conscientiousness_average_fu2,positive,0.005,-0.017070780402055605,139.92000000000002,max rho - alpha = 0.005 rho
IMAGEN_mats_mid_bsl_neo_c_conscientiousness_average_fu2,positive,0.001,0.0945329758702924,33.96,fixed alpha 0.001
IMAGEN_mats_mid_bsl_neo_c_conscientiousness_average_fu2,positive,0.001,-0.016387902341714902,33.96,max rho - alpha = 0.001 rho
IMAGEN_mats_mid_bsl_neo_c_extraversion_average_fu2,all,0.0063095734448019,0.0350080396422623,147.18,max rho
IMAGEN_mats_mid_bsl_neo_c_extraversion_average_fu2,all,0.1,0.0233217087934037,3060.62,fixed alpha 0.1
